disturbed?,coastal?,classification,population,ID,leaf_weight_g,leaf_area,lflength,SLA,avg_fruit_length,plant_height,# flowers,# fruits,reproductive_effort,E_cicutarium,E_brachycarpum,E. malacoides,E_botrys,E_moschatum,other_Erodium,Erodium_total,grass ,forb,shrub,total,soil_wet_weight,soil_dry_weight,soil_water_content,OM,ENR,P1,HCO3_P,PH,K,MG,CA,NA,BUFFER_PH,H,CEC,K_PCT,MG_PCT,CA_PCT,H_PCT,NA_PCT,S
undisturbed,inland,roadside,Las Campanas,Camp10,,,,,2.60,5.50,2,7,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.30,241,222,19,3.4,98.4,4.6,4.7,5.9,161.4,327.5,1133.0,69.6,6.7,1.9,10.9,3.8,24.7,51.8,17.0,2.8,4.3
undisturbed,inland,roadside,Las Campanas,Camp11,0.00492,57.121,,11609.95935,2.78,9.00,13,9,22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.10,0.25,166,157,9,,,,,,,,,,,,,,,,,,
undisturbed,inland,roadside,Las Campanas,Camp12,0.00616,59.278,,9623.051948,2.90,4.20,12,15,27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,325,303,22,,,,,,,,,,,,,,,,,,
undisturbed,inland,roadside,Las Campanas,Camp13,0.00377,61.106,,16208.48806,2.67,8.00,7,13,20,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.10,257,242,15,2.3,76.2,4.6,0.6,6.9,34.6,117.1,414.8,48.4,,0.1,3.4,2.6,28.5,61.2,1.5,6.2,4.4
disturbed,inland,roadside,Las Campanas,Camp14,0.00351,45.233,,12886.89459,2.75,3.50,5,5,10,0.20,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.20,259,251,8,2.1,72.2,6.7,4.5,7.5,147.1,355.0,1117.0,32.0,,0.0,9.0,4.2,32.4,61.9,0.0,1.5,6.0
disturbed,inland,roadside,Las Campanas,Camp15,0.0029,35.62,,12282.75862,2.57,3.80,5,4,9,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.05,0.00,0.15,275,256,19,1.5,60.0,2.0,4.4,8.3,55.2,126.6,419.8,65.7,,0.0,3.6,4.0,29.2,58.8,0.0,8.0,1.7
undisturbed,inland,roadside,Las Campanas,Camp16,0.00201,24.73,,12303.48259,2.87,3.90,3,7,10,0.25,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.05,0.00,0.30,203,194,9,2.6,82.6,4.9,4.1,6.6,198.8,327.4,1054.0,74.2,,0.6,9.3,5.4,28.8,56.3,6.0,3.5,7.5
undisturbed,inland,roadside,Las Campanas,Camp17,0.00208,27.799,,13364.90385,3.03,5.60,11,12,23,0.15,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.15,195,190,5,2.2,73.6,16.1,6.2,6.3,37.6,42.7,323.0,11.6,7.1,0.2,2.4,4.1,14.9,68.4,10.5,2.1,3.3
undisturbed,inland,roadside,Las Campanas,Camp18,0.00546,68.503,,12546.337,3.00,7.20,17,14,31,0.20,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.05,0.00,0.25,221,213,8,2.6,81.4,0.9,10.3,7.1,140.1,49.4,320.0,7.5,,0.0,2.4,15.0,17.0,66.7,0.0,1.4,7.8
undisturbed,inland,roadside,Las Campanas,Camp19,0.0023,36.982,,16079.13043,2.63,4.80,4,5,9,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.15,0.00,0.25,289,273,16,2.5,79.8,2.5,12.1,7.0,229.4,162.9,1308.0,12.2,,0.0,8.5,6.9,15.7,76.7,0.0,0.6,6.1
undisturbed,inland,roadside,Las Campanas,Camp2,0.00188,30.818,,16392.55319,3.10,2.60,1,3,4,0.05,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.15,0.00,0.20,234,207,27,4.1,112.0,0.2,10.1,6.7,63.3,172.6,583.4,35.0,,0.2,4.9,3.3,29.2,59.9,4.5,3.1,4.8
undisturbed,inland,roadside,Las Campanas,Camp20,0.00323,45.579,,14111.14551,2.10,4.00,3,2,5,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.00,0.20,247,228,19,,,,,,,,,,,,,,,,,,
undisturbed,inland,roadside,Las Campanas,Camp3,0.00192,41.259,,21489.0625,2.30,5.80,0,2,2,0.05,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.05,0.00,0.15,294,256,38,3.5,100.4,2.0,4.7,6.8,63.0,177.0,575.2,80.0,,0.1,5.0,3.2,29.2,57.6,3.0,7.0,14.0
undisturbed,inland,roadside,Las Campanas,Camp4,0.00759,63.967,,8427.799736,2.93,4.20,3,7,10,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.05,0.00,0.15,273,253,20,3.1,91.8,8.9,8.1,6.5,113.5,209.3,862.5,22.0,7.0,0.5,6.9,4.2,24.8,62.1,7.5,1.4,5.4
undisturbed,inland,roadside,Las Campanas,Camp5,0.00428,48.916,,11428.97196,2.25,3.10,2,4,6,0.15,0.00,0.00,0.00,0.00,0.00,0.15,0.05,0.00,0.00,0.20,321,302,19,3.1,91.8,6.2,2.7,6.1,196.9,408.4,1557.0,18.0,6.7,1.9,13.6,3.7,24.7,57.1,14.0,0.6,4.0
undisturbed,inland,roadside,Las Campanas,Camp6,0.00238,36.937,,15519.7479,2.50,4.90,2,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.05,295,272,23,,,,,,,,,,,,,,,,,,
undisturbed,inland,roadside,Las Campanas,Camp7,0.00234,32.781,,14008.97436,3.13,5.10,2,7,9,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.00,0.20,218,200,18,3.0,89.4,0.4,0.6,7.1,167.2,318.9,1289.0,11.0,,0.0,9.5,4.5,27.5,67.5,0.0,0.5,3.0
undisturbed,inland,roadside,Las Campanas,Camp8,0.00324,47.433,,14639.81481,2.47,4.90,7,8,15,0.15,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.05,0.00,0.20,364,343,21,2.8,85.2,2.2,0.3,6.7,138.1,399.0,1253.0,42.0,,0.5,10.5,3.3,31.1,59.3,4.5,1.7,5.0
undisturbed,inland,roadside,Las Campanas,Camp9,0.00496,40.215,,8107.862903,2.20,4.50,1,3,4,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.00,0.20,241,226,15,2.7,84.0,4.5,0.6,6.5,56.1,192.6,624.6,54.0,7.0,0.4,5.5,2.6,28.8,56.8,7.5,4.3,2.4
disturbed,coastal,reserve - desert,Carrizal Bajo,CB1,0.01938,303.406,50.712,15655.62436,3.94,5.00,17,9,26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,461,455,6,0.4,38.2,14.1,8.9,7.0,27.6,55.4,720.9,98.1,,0.0,4.5,1.6,10.0,79.1,0.0,9.4,73.0
disturbed,coastal,reserve - desert,Carrizal Bajo,CB10,0.01371,268.072,47.212,19553.02699,3.40,3.50,8,12,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.30,0.00,0.40,265,258,7,,,,,,,,,,,,,,,,,,
undisturbed,coastal,reserve - desert,Carrizal Bajo,CB11,0.01144,203.969,38.801,17829.45804,3.50,3.30,3,5,8,0.15,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.15,358,353,5,0.7,44.4,60.4,24.5,8.1,271.1,218.8,1485.0,113.5,,0.0,10.4,6.7,17.3,71.3,0.0,4.7,29.5
undisturbed,coastal,reserve - desert,Carrizal Bajo,CB12,0.00276,56.795,17.454,20577.89855,3.20,1.90,2,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,374,369,5,0.8,45.0,10.5,8.7,7.9,141.4,126.9,1371.0,11.4,,0.0,8.3,4.4,12.6,82.5,0.0,0.6,5.7
undisturbed,coastal,reserve - desert,Carrizal Bajo,CB13,0.00541,124.885,30.334,23084.10351,3.45,2.80,4,5,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,284,281,3,0.3,35.2,20.7,6.9,7.9,114.4,188.6,1497.0,206.9,,0.0,10.2,2.9,15.2,73.1,0.0,8.8,36.1
undisturbed,coastal,reserve - desert,Carrizal Bajo,CB14,0.00315,63.453,19.108,20143.80952,3.10,1.60,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,394,388,6,,,,,,,,,,,,,,,,,,
undisturbed,coastal,reserve - desert,Carrizal Bajo,CB15,0.00193,32.973,13.238,17084.45596,3.20,2.40,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,343,340,3,0.2,34.0,36.7,6.1,8.4,71.3,69.1,492.6,65.8,,0.0,3.5,5.2,16.3,70.3,0.0,8.2,16.5
undisturbed,coastal,reserve - desert,Carrizal Bajo,CB16,0.01319,235.033,39.32,17819.02957,3.35,3.30,11,8,19,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.30,414,409,5,,,,,,,,,,,,,,,,,,
undisturbed,coastal,reserve - desert,Carrizal Bajo,CB17,0.00711,134.644,30.249,18937.27145,3.25,3.90,5,4,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,409,404,5,0.2,34.4,18.0,14.4,8.5,70.0,79.2,362.8,64.2,,0.0,2.9,6.1,22.3,62.0,0.0,9.6,15.9
undisturbed,coastal,reserve - desert,Carrizal Bajo,CB18,0.0025,46.48,19.113,18592,3.00,1.20,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,387,382,5,0.4,38.2,14.4,12.6,8.4,45.5,82.8,353.5,29.0,,0.0,2.7,4.3,25.3,65.6,0.0,4.7,9.7
undisturbed,coastal,reserve - desert,Carrizal Bajo,CB19,0.00468,84.638,19.946,18085.04274,3.00,2.70,1,4,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,535,533,2,0.4,37.6,14.4,14.1,8.3,28.4,50.1,315.3,24.9,,0.0,2.2,3.4,19.0,72.6,0.0,5.0,11.2
undisturbed,coastal,reserve - desert,Carrizal Bajo,CB2,0.01224,222.246,40.573,18157.35294,3.60,3.80,5,14,19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,406,403,3,0.1,32.8,20.0,16.1,7.9,23.4,39.4,440.5,11.2,,0.0,2.6,2.3,12.3,83.6,0.0,1.8,17.0
undisturbed,coastal,reserve - desert,Carrizal Bajo,CB20,0.00421,83.134,20.683,19746.79335,3.40,2.90,1,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,423,417,6,0.2,33.8,20.7,12.8,8.3,72.0,100.0,486.0,69.0,,0.0,3.7,4.9,22.0,65.0,0.0,8.0,79.0
undisturbed,coastal,reserve - desert,Carrizal Bajo,CB21,0.00521,126.043,,24192.5144,3.50,2.40,2,1,3,,,,,,,,,,,,317,315,2,,,,,,,,,,,,,,,,,,
undisturbed,coastal,reserve - desert,Carrizal Bajo,CB3,0.01659,270.209,12.78,16287.46233,3.45,4.90,5,12,17,0.15,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.15,377,372,5,0.3,35.0,22.6,34.2,8.2,59.3,63.9,383.7,19.9,,0.0,2.7,5.7,19.6,71.5,0.0,3.2,12.3
undisturbed,coastal,reserve - desert,Carrizal Bajo,CB4,0.00848,155.129,29.205,18293.51415,3.80,4.00,5,9,14,0.40,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.40,214,210,4,,,,,,,,,,,,,,,,,,
undisturbed,coastal,reserve - desert,Carrizal Bajo,CB5,0.08927,1108.429,114.758,12416.59012,3.80,13.50,32,58,90,0.50,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.50,348,346,2,0.3,36.0,8.0,6.9,7.8,39.0,45.6,251.3,13.1,,0.0,1.8,5.6,21.0,70.2,0.0,3.2,7.2
undisturbed,coastal,reserve - desert,Carrizal Bajo,CB6,0.01821,312.427,62.24,17156.89182,2.85,5.00,2,13,15,0.80,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.80,136,135,1,1.0,49.0,34.3,16.8,8.3,157.9,236.0,1472.0,140.6,,0.0,10.3,3.9,18.8,71.3,0.0,5.9,24.6
undisturbed,coastal,reserve - desert,Carrizal Bajo,CB7,0.00148,31.338,11.551,21174.32432,,1.50,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,447,440,7,0.4,37.4,20.6,22.1,8.5,103.8,151.5,1206.0,71.8,,0.0,7.8,3.4,15.9,76.7,0.0,4.0,18.9
disturbed,coastal,reserve - desert,Carrizal Bajo,CB8,0.00742,168.475,29.936,22705.52561,,2.80,1,1,2,0.05,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.40,0.00,0.45,369,362,7,,,,,,,,,,,,,,,,,,
disturbed,coastal,reserve - desert,Carrizal Bajo,CB9,0.0027,53.799,16.178,19925.55556,2.60,2.80,2,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.10,308,305,3,0.4,38.6,28.1,10.8,8.3,128.0,170.2,1055.0,68.6,,0.0,7.3,4.5,19.2,72.2,0.0,4.1,13.7
disturbed,inland,reserve - grassland,Cold Canyon,CC OP 1,0.0045,102.1,33.8,22688.88889,3.8,6.5,3,2,5,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.05,0.05,0.00,0.20,230.32,216.39,13.93,3.2,93.4,10.6,12.0,6.9,375.6,568.5,2840.0,19.0,,0.3,20.2,4.8,23.2,70.2,1.5,0.4,4.8
disturbed,inland,reserve - grassland,Cold Canyon,CC OP 10,0.00644,129.8,38.7,20155.2795,3.95,6.4,5,4,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.10,,,,,,,,,,,,,,,,,,,,,
disturbed,inland,reserve - grassland,Cold Canyon,CC OP 11,,,,,3.9,,,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.10,154.65,145.66,8.99,3.8,105.8,10.8,12.3,6.8,260.3,303.7,1933.0,19.2,,0.4,13.3,5.0,18.8,72.6,3.0,0.6,5.5
undisturbed,inland,reserve - grassland,Cold Canyon,CC OP 12,0.00309,92.1,34.1,29805.82524,3.6,5.2,2,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.20,0.00,0.30,277.3,258.3,19,3.5,100.0,11.0,20.0,6.9,259.3,394.9,2298.0,16.8,,0.2,15.7,4.2,20.7,73.1,1.5,0.5,3.8
undisturbed,inland,reserve - grassland,Cold Canyon,CC OP 13,0.00447,108.2,37.0,24205.81655,3.8,6.4,3,3,6,0.05,0.00,0.00,0.00,0.00,0.00,0.05,0.70,0.00,0.00,0.75,249.66,232.22,17.44,2.8,86.4,78.7,16.5,6.7,199.3,365.6,1872.0,16.2,,0.6,13.5,3.8,22.2,69.0,4.5,0.5,4.8
undisturbed,inland,reserve - grassland,Cold Canyon,CC OP 14,0.00769,131.3,35.8,17074.12224,3.966666667,7.7,9,8,17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.20,279.71,255.86,23.85,3.7,103.4,16.0,17.0,6.6,205.9,295.8,1694.0,30.5,,0.7,12.3,4.3,19.8,68.8,6.0,1.1,4.0
undisturbed,inland,reserve - grassland,Cold Canyon,CC OP 15,0.00621,190.2,45.7,30628.01932,4,10.7,1,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.60,0.00,0.65,231.17,212.42,18.75,3.3,96.0,92.0,48.8,6.4,231.0,362.2,1788.0,14.6,6.8,1.2,13.8,4.3,21.6,64.7,9.0,0.5,6.8
undisturbed,inland,reserve - grassland,Cold Canyon,CC OP 16,0.00223,35.5,21.1,15919.28251,3.1,2.9,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.05,0.00,0.15,259.96,242.06,17.9,4.2,114.8,10.0,42.0,6.8,174.3,243.8,1485.0,16.8,,0.3,10.2,4.4,19.6,72.4,3.0,0.7,1.3
undisturbed,inland,reserve - grassland,Cold Canyon,CC OP 17,0.00385,94.6,27.4,24571.42857,3.8,,,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.20,210.79,198.07,12.72,4.1,111.4,8.9,14.5,7.1,332.2,378.9,1935.0,14.7,,0.0,13.7,6.2,22.8,70.6,0.0,0.5,3.4
undisturbed,inland,reserve - grassland,Cold Canyon,CC OP 18,0.00152,,,,3.6,5.1,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.10,113.68,112.17,1.51,3.3,96.6,12.4,34.8,7.0,353.7,452.2,2510.0,19.7,,0.0,17.2,5.2,21.6,72.7,0.0,0.5,3.0
undisturbed,inland,reserve - grassland,Cold Canyon,CC OP 19,0.00468,135,45.4,28846.15385,3.95,9.4,3,4,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.15,0.00,0.55,230.84,220.89,9.95,3.6,101.2,16.1,18.7,6.9,246.0,389.1,2308.0,12.8,,0.2,15.6,4.0,20.5,73.7,1.5,0.4,4.7
undisturbed,inland,reserve - grassland,Cold Canyon,CC OP 2,0.0032,62.4,26.7,19500,3.7,6.2,1,2,3,0.05,0.15,0.00,0.00,0.00,0.15,0.20,0.00,0.00,0.00,0.20,199.92,190.46,9.46,,,,,,,,,,,,,,,,,,
undisturbed,inland,reserve - grassland,Cold Canyon,CC OP 20,0.00456,101.8,33.0,22324.5614,3.6,7.3,1,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.30,0.00,0.35,248.65,234.68,13.97,,,,,,,,,,,,,,,,,,
undisturbed,inland,reserve - grassland,Cold Canyon,CC OP 3,0.00218,63.9,19.3,29311.92661,3.8,6.2,2,2,4,0.10,0.05,0.00,0.00,0.00,0.05,0.15,0.15,0.00,0.00,0.30,185.67,175.99,9.68,2.6,81.6,10.8,10.9,6.7,183.7,350.8,1625.0,13.8,,0.5,12.1,3.9,23.9,67.2,4.5,0.5,6.3
undisturbed,inland,reserve - grassland,Cold Canyon,CC OP 4,0.00458,99.8,40.5,21790.39301,3.75,6.3,6,5,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.15,311.31,288.61,22.7,2.7,84.6,10.8,16.7,6.9,306.0,598.3,2923.0,19.0,,0.3,20.7,3.8,23.8,70.5,1.5,0.4,5.5
undisturbed,inland,reserve - grassland,Cold Canyon,CC OP 5,0.00214,112.2,39.3,52429.90654,,7.5,2,1,3,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.80,0.00,0.00,0.90,207.23,188.65,18.58,2.8,86.6,10.7,18.4,6.5,269.7,412.1,1904.0,15.5,6.9,1.1,14.8,4.7,23.0,64.4,7.5,0.5,2.9
undisturbed,inland,reserve - grassland,Cold Canyon,CC OP 6,0.00539,104,31.6,19294.99072,3.6,5.2,4,1,5,0.05,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.15,0.00,0.25,240.77,224.38,16.39,,,,,,,,,,,,,,,,,,
undisturbed,inland,reserve - grassland,Cold Canyon,CC OP 7,0.00807,112.1,30.7,13890.95415,4.05,7.5,9,3,12,0.15,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.03,0.00,0.18,199,186.8,12.2,,,,,,,,,,,,,,,,,,
undisturbed,inland,reserve - grassland,Cold Canyon,CC OP 8,0.00265,61.8,19.7,23320.75472,4,5.1,3,2,5,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.00,0.20,228.31,202.79,25.52,3.1,92.6,8.1,18.5,6.8,420.7,839.4,3057.0,22.4,,0.7,24.1,4.5,28.7,63.4,3.0,0.4,4.3
undisturbed,inland,reserve - grassland,Cold Canyon,CC OP 9,0.00468,112.3,37.0,23995.7265,3.6,8.9,2,3,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.15,0.00,0.65,217.41,195.86,21.55,3.6,102.6,12.6,12.6,6.9,274.1,249.5,1326.0,26.2,,0.1,9.6,7.3,21.3,68.7,1.5,1.2,8.7
undisturbed,coastal,roadside,Cerro Grande,CG1,0.00109,26.889,12.084,24668.80734,3.90,3.30,2,1,3,0.20,0.00,0.00,0.00,0.00,0.00,0.20,0.05,0.00,0.00,0.25,288,276,12,1.0,49.8,24.8,38.2,8.3,306.0,964.7,2840.0,668.8,,0.0,25.8,3.0,30.8,54.9,0.0,11.3,17.1
undisturbed,coastal,roadside,Cerro Grande,CG10,0.00411,81.715,,19881.99513,3.25,3.30,0,2,2,0.05,0.00,0.00,0.00,0.00,0.00,0.05,0.15,0.40,0.00,0.60,233,,,,,,,,,,,,,,,,,,,,
undisturbed,coastal,roadside,Cerro Grande,CG11,0.00373,84.627,,22688.20375,3.30,4.40,2,2,4,0.05,0.00,0.00,0.00,0.00,0.00,0.05,0.40,0.10,0.00,0.55,245,237,8,,,,,,,,,,,,,,,,,,
disturbed,coastal,roadside,Cerro Grande,CG12,0.00469,101.57,,21656.71642,3.56,6.30,5,8,13,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.10,0.00,0.70,201,193,8,1.7,64.4,44.4,31.0,8.1,191.1,552.7,1828.0,299.1,,0.0,15.5,3.2,29.4,59.0,0.0,8.4,7.3
disturbed,coastal,roadside,Cerro Grande,CG13,0.02374,430.364,,18128.22241,3.52,12.40,6,32,38,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.10,0.00,0.30,262,250,12,1.3,55.0,20.4,24.0,8.2,150.5,638.9,1916.0,530.9,,0.0,17.5,2.2,30.0,54.6,0.0,13.2,5.6
disturbed,coastal,roadside,Cerro Grande,CG14,0.00434,81.114,,18689.86175,2.30,2.80,2,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.15,266,255,11,1.1,51.0,22.1,22.0,8.4,105.1,419.3,1302.0,484.5,,0.0,12.3,2.2,28.0,52.7,0.0,17.1,6.2
disturbed,coastal,roadside,Cerro Grande,CG15,0.00116,28.475,,24547.41379,2.50,2.90,2,1,3,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.40,0.00,0.60,61,58,3,1.9,68.4,50.6,53.0,7.6,297.2,592.0,1893.0,313.2,,0.0,16.4,4.6,29.6,57.5,0.0,8.3,17.4
disturbed,coastal,roadside,Cerro Grande,CG16,0.00381,72.223,,18956.16798,3.70,4.50,1,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.20,0.00,0.30,219,210,9,0.6,41.4,24.5,12.0,8.1,133.7,387.5,1120.0,268.1,,0.0,10.3,3.3,31.0,54.3,0.0,11.3,3.5
disturbed,coastal,roadside,Cerro Grande,CG17,0.01141,267.374,,23433.30412,3.66,10.20,10,16,26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.50,452,444,8,0.1,31.4,8.7,8.0,8.0,119.8,317.8,848.7,132.3,,0.0,7.7,4.0,33.8,54.8,0.0,7.4,4.1
disturbed,coastal,roadside,Cerro Grande,CG18,0.00973,200.956,,20653.23741,2.97,6.30,4,6,10,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.40,0.20,0.00,0.70,204,194,10,,,,,,,,,,,,,,,,,,
disturbed,coastal,roadside,Cerro Grande,CG19,0.00288,63.506,,22050.69444,2.90,6.40,5,3,8,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.40,0.00,0.60,109,104,5,1.3,55.4,18.8,12.0,8.1,99.2,433.7,986.2,256.7,,0.0,9.9,2.6,36.2,49.9,0.0,11.3,4.7
disturbed,coastal,roadside,Cerro Grande,CG2,0.00618,292.806,49.04,47379.61165,3.38,11.30,29,24,53,0.60,0.00,0.00,0.00,0.00,0.00,0.60,0.20,0.00,0.00,0.80,293,280,13,1.1,52.8,18.6,22.2,8.3,224.9,816.6,2513.0,810.2,,0.0,23.4,2.5,28.8,53.7,0.0,15.1,13.3
undisturbed,coastal,roadside,Cerro Grande,CG20,0.00893,175.176,,19616.57335,3.47,6.50,3,7,10,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.20,0.40,0.00,0.70,291,276,15,1.1,51.4,20.8,5.0,8.3,156.4,734.4,1761.0,547.6,,0.0,17.6,2.3,34.3,49.9,0.0,13.5,7.3
undisturbed,coastal,roadside,Cerro Grande,CG3,0.01269,356.558,57.322,28097.55713,3.68,9%,13,9,22,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.05,0.25,0.00,0.40,231,221,10,1.4,58.0,28.0,22.8,8.2,285.9,817.8,2488.0,631.9,,0.0,22.6,3.2,29.7,54.9,0.0,12.2,16.9
disturbed,coastal,roadside,Cerro Grande,CG4,0.002,36.014,12.7,18007,3.30,3.40,3,1,4,0.00,0.00,0.00,0.00,0.15,0.15,0.15,0.35,0.00,0.00,0.50,193,183,10,1.5,59.8,32.2,20.3,8.4,344.6,883.7,3113.0,663.3,,0.0,26.6,3.3,27.4,58.5,0.0,10.9,20.1
undisturbed,coastal,roadside,Cerro Grande,CG5,0.03228,749.382,64.74,23215.05576,3.96,22.00,21,24,45,0.15,0.00,0.00,0.00,0.00,0.00,0.15,0.60,0.25,0.00,1.00,230,216,14,1.1,52.8,20.1,10.6,8.2,276.0,849.6,2633.0,504.7,,0.0,23.0,3.1,30.3,57.1,0.0,9.5,17.3
undisturbed,coastal,roadside,Cerro Grande,CG6,0.00479,109.504,27.445,22860.96033,3.30,4.20,2,2,4,0.05,0.00,0.00,0.00,0.00,0.00,0.05,0.20,0.20,0.00,0.45,372,357,15,0.9,47.0,18.7,30.0,8.3,162.9,708.8,2013.0,513.9,,0.0,18.5,2.2,31.5,54.2,0.0,12.1,6.4
undisturbed,coastal,roadside,Cerro Grande,CG7,0.00523,79.662,22.839,15231.73996,2.90,3.10,6,2,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.15,351,337,14,,,,,,,,,,,,,,,,,,
undisturbed,coastal,roadside,Cerro Grande,CG8,0.00557,64.153,,11517.59425,3.20,3.00,0,2,2,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.05,0.00,0.00,0.15,183,,,,,,,,,,,,,,,,,,,,
undisturbed,coastal,roadside,Cerro Grande,CG9,0.00753,107.984,,14340.50465,3.10,4.10,0,5,5,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.00,0.20,236,227,9,0.8,46.2,14.3,20.0,7.7,86.8,574.8,1114.0,567.0,,0.0,13.0,1.7,36.4,42.8,0.0,19.0,12.6
undisturbed,inland,roadside,Coyote Hills - cleared patch,CH CP1,0.00882,123.5,28.1,14002.26757,3,5.9,4,2,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,266.37,263.65,2.72,1.6,62.4,14.5,26.1,7.8,93.4,278.2,2984.0,39.9,,0.0,17.6,1.4,13.0,84.7,0.0,1.0,18.6
undisturbed,inland,roadside,Coyote Hills - cleared patch,CH CP10,0.01511,290.8,57.1,19245.53276,3.166666667,10,12,28,40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.00,0.15,79.85,65.53,14.32,0.6,41.6,16.3,22.0,7.4,75.3,237.9,2002.0,31.3,,0.0,12.3,1.6,15.9,81.4,0.0,1.1,13.6
